"member_id";"longitude";"latitude";"elevation";"time"
26;-3,794727;37,776612;522,865;2023-03-01 20:49:38
26;-3,79431;37,776774;519,423;2023-03-01 20:49:57
26;-3,793972;37,776755;518,674;2023-03-01 20:50:09
26;-3,793678;37,776818;517,819;2023-03-01 20:50:17
26;-3,793501;37,776852;517,675;2023-03-01 20:50:22
26;-3,793124;37,776816;517,265;2023-03-01 20:50:32
26;-3,792964;37,776806;516,408;2023-03-01 20:50:38
26;-3,792648;37,776716;516,033;2023-03-01 20:50:48
26;-3,792392;37,776701;515,845;2023-03-01 20:50:54
26;-3,792061;37,776707;515,896;2023-03-01 20:51:01
26;-3,791557;37,776905;513,215;2023-03-01 20:51:14
26;-3,791555;37,777126;508,815;2023-03-01 20:51:29
26;-3,791721;37,777163;509,261;2023-03-01 20:51:35
26;-3,791895;37,777182;509,896;2023-03-01 20:51:40
26;-3,792107;37,777195;510,264;2023-03-01 20:51:46
26;-3,792555;37,777326;510,855;2023-03-01 20:52:00
26;-3,792824;37,777388;511,017;2023-03-01 20:52:08
26;-3,793078;37,777434;511,438;2023-03-01 20:52:15
26;-3,793241;37,777454;511,687;2023-03-01 20:52:20
26;-3,793565;37,777452;512,495;2023-03-01 20:52:29
26;-3,793864;37,777477;512,678;2023-03-01 20:52:38
26;-3,794114;37,777546;513,411;2023-03-01 20:52:45
26;-3,794337;37,777566;513,468;2023-03-01 20:52:51
26;-3,794597;37,777586;513,414;2023-03-01 20:52:58
26;-3,79484;37,777602;513,808;2023-03-01 20:53:05
26;-3,795074;37,777593;514,078;2023-03-01 20:53:12
26;-3,795316;37,77763;514,48;2023-03-01 20:53:19
26;-3,795575;37,777648;514,831;2023-03-01 20:53:26
26;-3,795874;37,777695;515,666;2023-03-01 20:53:35
26;-3,796391;37,777785;516,608;2023-03-01 20:53:50
26;-3,796748;37,777728;516,875;2023-03-01 20:53:59
26;-3,796955;37,77772;517,031;2023-03-01 20:54:05
26;-3,797258;37,77779;518,074;2023-03-01 20:54:16
26;-3,797521;37,777819;518,897;2023-03-01 20:54:24
26;-3,797686;37,777832;519,275;2023-03-01 20:54:29
26;-3,798037;37,777872;520,02;2023-03-01 20:54:40
26;-3,798229;37,7779;520,208;2023-03-01 20:54:46
26;-3,798831;37,77797;521,817;2023-03-01 20:55:05
26;-3,79903;37,777986;522,462;2023-03-01 20:55:10
26;-3,799543;37,778018;523,868;2023-03-01 20:55:26
26;-3,799806;37,778014;523,808;2023-03-01 20:55:34
26;-3,800006;37,778033;524,449;2023-03-01 20:55:40
26;-3,800296;37,778081;525,04;2023-03-01 20:55:48
26;-3,800538;37,778123;525,456;2023-03-01 20:55:55
26;-3,800823;37,778124;526,279;2023-03-01 20:56:04
26;-3,801013;37,778099;526,646;2023-03-01 20:56:10
26;-3,801341;37,778026;527,284;2023-03-01 20:56:19
26;-3,801664;37,778037;528,408;2023-03-01 20:56:29
26;-3,801921;37,778029;528,841;2023-03-01 20:56:36
26;-3,802123;37,778073;529,492;2023-03-01 20:56:42
26;-3,802669;37,778149;530,688;2023-03-01 20:56:57
26;-3,803001;37,77817;531,883;2023-03-01 20:57:07
26;-3,803288;37,778203;533,008;2023-03-01 20:57:15
26;-3,803572;37,778293;534,018;2023-03-01 20:57:23
26;-3,803954;37,778324;535,061;2023-03-01 20:57:34
23;-3,803717;37,778299;542,864;2023-03-01 20:03:58
23;-3,803409;37,778269;542,281;2023-03-01 20:04:09
23;-3,803006;37,778238;541,21;2023-03-01 20:04:25
23;-3,802773;37,778197;540,463;2023-03-01 20:04:34
23;-3,802587;37,778171;540,441;2023-03-01 20:04:40
23;-3,802349;37,778161;540,288;2023-03-01 20:04:47
23;-3,802171;37,778187;539,664;2023-03-01 20:04:53
23;-3,801401;37,778135;537,682;2023-03-01 20:05:15
23;-3,801223;37,778105;537,257;2023-03-01 20:05:20
23;-3,800971;37,778055;537,262;2023-03-01 20:05:27
23;-3,800686;37,777996;536,853;2023-03-01 20:05:34
23;-3,800471;37,77799;536,414;2023-03-01 20:05:40
23;-3,800108;37,777979;535,675;2023-03-01 20:05:52
23;-3,799757;37,777903;534,891;2023-03-01 20:06:04
23;-3,799492;37,77787;534,636;2023-03-01 20:06:11
23;-3,799183;37,777841;534,618;2023-03-01 20:06:18
23;-3,798779;37,777776;533,025;2023-03-01 20:06:29
23;-3,798393;37,777771;532,448;2023-03-01 20:06:41
23;-3,7981;37,77773;531,693;2023-03-01 20:06:48
23;-3,79792;37,777693;531,459;2023-03-01 20:06:53
23;-3,797247;37,777673;530,296;2023-03-01 20:07:09
23;-3,796899;37,777672;530,263;2023-03-01 20:07:19
23;-3,796643;37,777651;529,238;2023-03-01 20:07:26
23;-3,796124;37,777606;528,035;2023-03-01 20:07:41
23;-3,795814;37,777594;527,208;2023-03-01 20:07:50
23;-3,795548;37,777546;526,886;2023-03-01 20:07:57
23;-3,795261;37,77753;526,467;2023-03-01 20:08:05
23;-3,794998;37,777496;526,483;2023-03-01 20:08:12
23;-3,794759;37,777437;526,498;2023-03-01 20:08:18
23;-3,794575;37,777417;526,446;2023-03-01 20:08:23
23;-3,793626;37,777334;525,089;2023-03-01 20:08:48
23;-3,793329;37,777287;524,67;2023-03-01 20:08:56
23;-3,793099;37,777261;524,298;2023-03-01 20:09:03
23;-3,792735;37,777201;523,872;2023-03-01 20:09:15
23;-3,79239;37,777158;523,608;2023-03-01 20:09:25
23;-3,791896;37,777077;521,681;2023-03-01 20:09:38
23;-3,791632;37,777069;520,687;2023-03-01 20:09:44
23;-3,79098;37,77709;515,814;2023-03-01 20:10:04
23;-3,790706;37,777022;515,208;2023-03-01 20:10:22
23;-3,790084;37,777243;515,277;2023-03-01 20:10:42
23;-3,788951;37,777155;515,46;2023-03-01 20:10:56
23;-3,788735;37,777231;516,841;2023-03-01 20:11:02
23;-3,78848;37,777355;518,208;2023-03-01 20:11:10
23;-3,788175;37,777456;518,819;2023-03-01 20:11:20
23;-3,787899;37,77753;517,677;2023-03-01 20:11:28
23;-3,787578;37,777643;516,82;2023-03-01 20:11:38
23;-3,787087;37,77782;515,273;2023-03-01 20:11:52
23;-3,786775;37,77793;514,682;2023-03-01 20:12:01
23;-3,786337;37,778066;513,019;2023-03-01 20:12:14
23;-3,78596;37,778179;512,285;2023-03-01 20:12:25
23;-3,785654;37,778307;511,247;2023-03-01 20:12:35
23;-3,785428;37,778394;510,811;2023-03-01 20:12:42
23;-3,78525;37,778357;510,015;2023-03-01 20:12:48
23;-3,785248;37,778058;511,062;2023-03-01 20:12:59
23;-3,785315;37,777755;512,468;2023-03-01 20:13:13
23;-3,785336;37,777566;513,816;2023-03-01 20:13:21
23;-3,785359;37,777443;514,608;2023-03-01 20:13:26
23;-3,785539;37,776994;517,211;2023-03-01 20:13:45
23;-3,78555;37,776852;518,219;2023-03-01 20:13:51
23;-3,785542;37,776656;519,232;2023-03-01 20:13:58
23;-3,785542;37,776482;520,667;2023-03-01 20:14:05
23;-3,785557;37,776308;521,619;2023-03-01 20:14:12
23;-3,785615;37,776175;522,689;2023-03-01 20:14:18
23;-3,785713;37,775869;524,869;2023-03-01 20:14:33
23;-3,785795;37,775072;530,225;2023-03-01 20:15:10
23;-3,785808;37,774878;531,208;2023-03-01 20:15:17
23;-3,785827;37,774677;531,808;2023-03-01 20:15:23
23;-3,785851;37,774505;532,844;2023-03-01 20:15:33
23;-3,785744;37,774064;535,065;2023-03-01 20:15:46
23;-3,785768;37,773824;536,895;2023-03-01 20:15:59
23;-3,78585;37,773575;537,623;2023-03-01 20:16:07
23;-3,785904;37,773422;538,208;2023-03-01 20:16:13
23;-3,785944;37,773276;539,451;2023-03-01 20:16:20
23;-3,785978;37,773193;540,219;2023-03-01 20:16:27
