"categoria";"temps"
"CATEGORIA C F";"00:54:01"
"CATEGORIA C M";"00:54:01"
"CATEGORIA C M";"00:54:03"
"CATEGORIA C M";"00:54:03"
"CATEGORIA C M";"00:54:03"
"CATEGORIA C M";"00:54:04"
"CATEGORIA C M";"00:54:04"
"CATEGORIA B M";"00:54:05"
"CATEGORIA C M";"00:54:07"
"CATEGORIA C M";"00:54:07"
"CATEGORIA B M";"00:54:08"
"CATEGORIA C M";"00:54:08"
"CATEGORIA C F";"00:54:08"
"CATEGORIA C M";"00:54:08"
"CATEGORIA C M";"00:54:08"
"CATEGORIA C M";"00:54:09"
"CATEGORIA C M";"00:54:09"
"CATEGORIA B M";"00:54:10"
"CATEGORIA B M";"00:54:10"
"CATEGORIA C M";"00:54:11"
"CATEGORIA C M";"00:54:11"
"CATEGORIA C M";"00:54:12"
"CATEGORIA C F";"00:54:13"
"CATEGORIA C M";"00:54:14"
"CATEGORIA C F";"00:54:15"
"CATEGORIA B M";"00:54:16"
"CATEGORIA C M";"00:54:18"
"CATEGORIA C M";"00:54:19"
"CATEGORIA C M";"00:54:19"
"CATEGORIA A M";"00:54:19"
"CATEGORIA C M";"00:54:19"
"CATEGORIA C M";"00:54:19"
"CATEGORIA B M";"00:54:20"
"CATEGORIA C M";"00:54:21"
"CATEGORIA C M";"00:54:22"
"CATEGORIA C F";"00:54:23"
"CATEGORIA C M";"00:54:24"
"CATEGORIA B M";"00:54:25"
"CATEGORIA B M";"00:54:27"
"CATEGORIA C F";"00:54:29"
"CATEGORIA C M";"00:54:29"
"CATEGORIA B M";"00:54:31"
"CATEGORIA B F";"00:54:32"
"CATEGORIA C M";"00:54:32"
"CATEGORIA B M";"00:54:32"
"CATEGORIA B M";"00:54:32"
"CATEGORIA C F";"00:54:33"
"CATEGORIA C M";"00:54:37"
"CATEGORIA C M";"00:54:39"
"CATEGORIA C M";"00:54:42"
"CATEGORIA C M";"00:54:43"
"CATEGORIA C M";"00:54:43"
"CATEGORIA B M";"00:54:43"
"CATEGORIA C M";"00:54:44"
"CATEGORIA A M";"00:54:44"
"CATEGORIA C M";"00:54:45"
